year,dur,area_hm3
2000,3.00823548,2.28402
2001,0,0
2002,0,0
2003,10.09366992,135.39501
2004,5.389711613,1.27017
2005,3.000005639,15.96168
2006,0,0
2007,3.479961309,2.79135
2008,0,0
2009,3.009017286,16.94745
2010,3.821884984,0.11268
2011,4.425258235,71.47269
2012,0,0
2013,4.246841789,0.44883
2014,5.139442254,171.34254
2015,0,0
2016,3,0.09963
2017,3.697695127,6.97392
2018,7.821742696,10.42695
2019,6.026436766,147.57516
2020,0,0
2021,7.645361478,29.84625
2022,8.659813913,319.83345
2023,3.000365597,0.98469
