year,patch,ac,vct_ac,lt_ac,ccdc_ac
2000,1,0.014809323,0.015360633,0.005380024,0.01864796
2000,3901,0.00020037,0.005883585,0.016321029,0.00016795
2000,11017,0.000152983,0.003671584,0.00525878,0.0001666
2000,13416,0.000913784,0.013661077,0.00322109,0.000869
2000,13704,0.000244782,0.005156742,0.005417843,0.000135
2000,14038,0.002634034,0.011560482,0.009347162,0.004225429
2000,16655,0.000199111,0.001144886,0.000481184,0.000255
2000,20399,0.000591949,0.020126283,0.017166535,0.000446
2000,25184,0.000196248,0.01115345,0.004644545,3.27E-05
2000,25493,0.001183006,0.009489764,0.005259233,0.000334328
2000,26542,0.031659223,0.03848562,0.021194223,0.035
2000,26954,0.001676,0.001660796,0.001618482,0.001057832
2000,27510,0.0052898,0.005353003,0.005943098,0.0045562
2000,27736,0.000946522,0.006852816,0.004353999,0.005849503
2000,31491,5.20E-05,0.012734991,0.001464091,0.000543273
2000,31550,0.000129683,0.001599419,0.000293947,0.000129285
2000,31551,0.00113161,0.001758341,0.001514611,0.001078507
2000,31554,0.00298434,0.003037006,0.001694052,0.006014325
2000,31596,8.73E-05,0.007238973,0.0067849,0.009907526
2000,31861,3.52E-05,0.005840084,0.000246269,0.000694829
2000,31917,5.93E-05,0.002886748,0.003199973,0.001142847
2001,1,0.021827285,0.033664084,0.000124598,0.019946989
2001,2,0.072145599,0.089333165,0.001033363,0.057256738
2001,3,0.004953425,0.006587412,0,0.01052442
2001,4,0.001192242,0.002583192,2.65E-05,0.008173485
2001,5,0.001892277,0.002385915,0.000438789,0.001645459
2001,6,0.000212183,0.000694418,0,0.003684271
2001,7,0.003976516,0.004767655,0.001186709,0.005537975
2001,8,0.001066009,0.001066009,0.000666256,0.001732265
2001,9,0.005369914,0.00680508,1.20E-05,0.012928457
2001,10,0.001522496,0.002268208,0,0.002563386
2001,11,0.002372479,0.002759823,0.000387344,0.002324061
2001,12,0.003476082,0.003704914,0.000130762,0.004696524
2001,13,0.003755313,0.004391507,0.000494818,0.01012609
2001,14,0.003676984,0.004340763,0.000358091,0.009327837
2001,15,0.002685846,0.003361814,0.000162232,0.009869133
2001,16,0.012264857,0.016845467,0,0.021426077
2001,17,0.011695557,0.016459309,0,0.02016887
2001,18,0.007771832,0.011986355,0,0.016482542
2001,19,0.001437266,0.001605834,0.0002218,0.002129283
2001,20,0.000637591,0.001008726,0,0.00051388
2001,21,0.001676023,0.002020411,0,0.00146939
2001,22,0.000956352,0.00103286,0.000229525,0.005699858
2001,23,0.000861942,0.001650002,0.000123135,0.005220903
2001,24,0.005709582,0.008988999,0,0.004860331
2001,25,0.008735354,0.013905258,0.00142618,0.012488982
2001,26,0.013480365,0.018832371,0.001561002,0.01795152
2001,27,0.009828786,0.013159369,0.001802793,0.014463083
2001,28,0.011461249,0.015810708,0.001780976,0.00600928
2001,29,0.011306341,0.019371385,0.002182691,0.005162065
2001,30,0.004233395,0.005723153,0.000980757,0.002842955
2001,31,0.003548581,0.007259596,0.000737205,0.00307377
2001,32,0.001875279,0.004857279,0.00067633,0.013096208
2001,33,0.002331915,0.00728056,0.000747637,0.023301351
2001,34,0.015488612,0.016040433,0.002721481,0.020492626
2001,35,0.009001009,0.009757488,0.000274087,0.014789721
2001,36,0.008254913,0.008900316,0.000124917,0.013501416
2001,37,0.015475905,0.015979381,0.000335651,0.015931431
2001,38,0.004713283,0.00785851,0.000738445,0.002889963
2001,39,0.007106905,0.009038707,0.000265844,0.002906565
2001,40,0.007259806,0.010372436,0.000269881,0.002662828
2001,41,0.001794173,0.003277355,0,0.00208124
2001,42,0.004574398,0.007151954,0,0.00320921
2002,1,0.017241721,0.041495009,0.015033275,0.037731738
2003,1,0.019495536,0.032092501,0.01041128,0.038903254
2003,2,0.006423596,0.010258039,0.000383042,0.012761823
2003,3,0.020905073,0.024655719,0.00011831,0.04847144
2003,4,0.005124276,0.005644993,0.00361399,0.019951614
2003,5,0.00289971,0.000310511,0.024530352,0.021114734
2003,6,0.009404613,0.001435407,0.001435407,0.004545455
2003,7,0.003020052,0.01478279,0.003613026,0.022694705
2003,8,0.008069563,0.005925218,0.001985468,0.007151841
2003,9,0.001260019,0.011632211,0.00343679,0.004203458
2003,10,0.003643566,0.003536977,0.002250804,0.022958199
2003,11,0.01430363,0.023769543,0.000868558,0.01208261
2003,12,0.00400227,0.010477439,0.013773442,0.03261118
2003,13,0.000310511,0.009140246,0.000238027,0.019280206
2003,14,0.001435407,0.011662157,0.000205501,0.020104805
2003,15,0.011169763,0.005978036,0.000429362,0.019189167
2003,16,0.003752638,0.024820227,0.003081817,0.019551314
2003,17,0.006318405,0.020434403,0.00078064,0.008908481
2003,18,0.000803859,0.02287833,0.003625378,0.022411425
2003,19,0.012072959,0.022917717,0.008379536,0.028918851
2003,20,0.005093783,0.013131044,0.000735136,0.013714083
2003,21,0.00722677,0.00469458,0.000335976,0.004304122
2003,22,0.003236727,0.0017579,0.000202835,0.000726824
2003,23,0.012194718,0.026029663,0.018410564,0.027114232
2003,24,0.077316481,0.076910735,0.044092765,0.07985706
2003,25,0.010134578,0.026862865,0.019340246,0.020180238
2003,26,0.011277722,0.011501646,0.003471303,0.020307593
