"Type","Year","Age","Lag_Effect","real_age"
33,2020,25,4,25
33,2020,25,4,25
33,2020,25,4,25
33,2020,16,4,16
33,2020,30,4,30
33,2020,30,4,30
NA,2020,32,4,32
33,2020,21,4,21
33,2020,21,4,21
33,2020,20,4,20
33,2020,20,4,20
33,2020,20,4,20
33,2020,20,4,20
33,2020,20,4,20
2,2020,39,4,39
2,2020,39,4,39
33,2020,20,4,20
33,2020,20,4,20
33,2020,20,4,20
2,2020,39,4,39
33,2020,20,4,20
33,2020,20,4,20
33,2020,20,4,20
2,2020,33,4,33
33,2020,32,4,32
2,2020,23,4,23
NA,2020,23,4,23
NA,2020,23,4,23
33,2020,14,4,14
33,2020,35,4,35
33,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,31,4,31
2,2020,31,4,31
2,2020,31,4,31
2,2020,31,4,31
2,2020,31,4,31
2,2020,31,4,31
2,2020,38,4,38
2,2020,38,4,38
2,2020,38,4,38
2,2020,31,4,31
2,2020,31,4,31
2,2020,31,4,31
2,2020,31,4,31
2,2020,31,4,31
2,2020,31,4,31
2,2020,31,4,31
2,2020,31,4,31
2,2020,31,4,31
2,2020,31,4,31
33,2020,19,4,19
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
33,2020,21,4,21
33,2020,21,4,21
33,2020,21,4,21
33,2020,21,4,21
33,2020,21,4,21
33,2020,21,4,21
33,2020,21,4,21
2,2020,37,4,37
33,2020,21,4,21
2,2020,34,4,34
2,2020,29,4,29
2,2020,34,4,34
2,2020,34,4,34
2,2020,34,4,34
2,2020,34,4,34
2,2020,34,4,34
2,2020,35,4,35
2,2020,34,4,34
2,2020,34,4,34
2,2020,35,4,35
2,2020,13,4,13
2,2020,34,4,34
2,2020,34,4,34
2,2020,34,4,34
2,2020,34,4,34
33,2020,16,4,16
33,2020,28,4,28
2,2020,34,4,34
2,2020,35,4,35
2,2020,35,4,35
33,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,34,4,34
NA,2020,34,4,34
NA,2020,34,4,34
33,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
NA,2020,34,4,34
33,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
2,2020,35,4,35
33,2020,30,4,30
33,2020,30,4,30
