Type,Year,Age,High,m
2,2020,47,12.8,0.193406
2,2020,47,12.8,0.193406
2,2020,34,10.2,1.10787
2,2020,34,10.2,1.16932
2,2020,34,10.2,1.20192
2,2020,47,18.4,1.2003
2,2020,47,18.4,1.18311
2,2020,47,18.4,1.18678
2,2020,47,18.4,1.19119
2,2020,47,18.4,1.20128
2,2020,47,18.4,1.18767
2,2020,47,18.4,1.19209
2,2020,47,18.4,1.19703
2,2020,47,18.4,1.20225
2,2020,47,18.4,1.19323
2,2020,60,11.3,1.03888
2,2020,60,11.3,1.06298
2,2020,60,11.3,1.03351
2,2020,60,11.3,1.05755
2,2020,60,11.3,1.08655
2,2020,60,11.3,1.03339
2,2020,60,11.3,1.05736
2,2020,60,11.3,1.03619
2,2020,60,11.3,1.06249
2,2020,60,11.3,1.0469
2,2020,55,8.5,0.57999
2,2020,41,6.9,1.97182
2,2020,41,6.9,1.97807
2,2020,51,11,4.22715
2,2020,51,11,4.236
2,2020,51,11,4.24079
2,2020,53,15.1,0.297048
2,2020,60,11.3,1.13572
2,2020,60,16.29,1.15156
2,2020,60,16.29,1.21318
2,2020,60,16.29,1.25902
2,2020,39,13.4,1.95762
2,2020,57,9.3,5.36624
2,2020,52,9.3,0.471496
2,2020,52,9.3,0.47997
2,2020,52,9.3,0.493101
2,2020,52,9.3,0.462155
2,2020,52,9.3,0.46586
2,2020,52,9.3,0.474201
2,2020,52,10.1,0.466761
2,2020,52,9.3,0.461589
2,2020,52,9.3,0.465291
2,2020,52,9.3,0.461025
2,2020,59,12.4,0.0176577
2,2020,51,11,4.12291
2,2020,51,11,4.01671
2,2020,51,11,4.14276
2,2020,51,11,4.14457
2,2020,51,11,4.75395
2,2020,51,11,4.6012
2,2020,51,11,4.59008
2,2020,60,16.29,1.12807
2,2020,49,13.6,3.20281
2,2020,42,15.4,2.04234
2,2020,42,15.4,2.02866
2,2020,42,15.4,2.03005
2,2020,42,15.4,2.01858
2,2020,26,8.89,0.604295
2,2020,26,8.89,0.618878
2,2020,41,0,2.12742
2,2020,41,0,2.14642
2,2020,41,0,2.23885
2,2020,41,0,2.25844
2,2020,41,0,2.35131
33,2020,41,0,0.970923
33,2020,41,0,1.04469
33,2020,41,0,0.915788
33,2020,41,0,0.88848
33,2020,43,0,1.15572
33,2020,43,0,1.21056
33,2020,22,0,0.216647
33,2020,22,0,0.216778
33,2020,22,0,0.217205
33,2020,22,0,0.217666
33,2020,58,11,0.967989
33,2020,58,11,0.967989
2,2020,58,11,0.894287
2,2020,58,11,0.894287
2,2020,58,11,0.894287
2,2020,58,11,0.907433
2,2020,49,15.3,0.421941
2,2020,49,15.3,0.422041
2,2020,48,0,0.295589
2,2020,45,0,1.98738
2,2020,45,0,2.0733
2,2020,35,14.4,1.71823
33,2020,34,0,1.31157
