Type,Year,Age,Height,m
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,21,16.9,3
33,2019,21,16.9,3
33,2019,21,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,21,16.9,3
33,2019,21,16.9,3
33,2019,21,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,21,16.9,3
33,2019,21,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
33,2019,27,16.9,3
2,2019,46,11.2,10
2,2019,46,11.2,10
2,2019,42,14.9,10
2,2019,42,14.9,10
2,2019,42,14.9,10
2,2019,38,14.9,10
2,2019,38,14.9,10
2,2019,38,14.9,10
0,2019,39,7.9,10
33,2019,46,15,10
33,2019,25,23.1,10
33,2019,42,16.5,10
0,2019,25,13.5,10
33,2019,42,13.5,10
33,2019,42,15.7,10
33,2019,42,15.7,10
33,2019,42,15.7,10
33,2019,42,15.7,10
33,2019,42,15.7,10
33,2019,42,15.7,10
33,2019,42,15.7,10
33,2019,42,15.7,10
33,2019,42,15.7,10
33,2019,42,15.7,10
2,2019,25,11,3
2,2019,25,11,3
33,2019,16,16.2,3
33,2019,16,16.2,3
2,2019,44,14.9,11
2,2019,44,14.9,11
2,2019,44,14.9,11
2,2019,44,14.9,11
2,2019,44,14.9,11
2,2019,44,14.9,11
33,2019,46,17.7,11
2,2019,41,11.1,10
2,2019,41,11.1,3
2,2019,41,11.1,3
2,2019,41,11.1,3
2,2019,35,11.1,3
2,2019,35,11.1,3
2,2019,35,11.1,3
2,2019,35,11.1,3
2,2019,35,11.1,3
2,2019,35,11.1,3
2,2019,35,11.1,3
2,2019,24,15.1,3
2,2019,24,15.1,3
2,2019,24,15.1,3
2,2019,47,15.7,3
2,2019,47,15.7,3
2,2019,47,15.7,3
2,2019,47,15.7,3
33,2019,44,15.1,3
2,2019,48,8.2,3
2,2019,48,8.2,3
2,2019,48,8.2,3
2,2019,48,8.2,3
2,2019,48,8.2,3
2,2019,48,8.2,3
2,2019,48,8.2,3
2,2019,48,8.2,3
2,2019,48,8.2,3
2,2019,48,8.2,3
2,2019,48,8.2,3
2,2019,48,8.2,3
2,2019,48,8.2,3
2,2019,48,8.2,3
2,2019,48,8.2,3
