Type,Year,Age,m,Height
2,2019,43,0.468597,9.89
2,2019,43,0.464306,9.89
2,2019,43,0.460064,9.2
2,2019,43,0.455927,9.2
2,2019,43,0.464465,9.2
2,2019,43,0.464465,9.89
2,2019,52,0.194045,17.9
2,2019,52,0.192585,17.9
2,2019,52,0.197141,17.9
2,2019,52,0.174667,17.9
2,2019,52,0.142721,17.9
2,2019,52,0.142721,17.9
2,2019,52,0.143036,17.9
2,2019,53,0.0239149,17
33,2019,27,0.860016,16.9
33,2019,27,0.859864,16.9
33,2019,27,0.85975,16.9
33,2019,27,0.859637,16.9
33,2019,27,0.859523,16.9
33,2019,21,0.842709,16.9
33,2019,21,0.851308,16.9
33,2019,21,0.864388,16.9
33,2019,27,0.868645,16.9
33,2019,27,0.868645,16.9
33,2019,27,0.86853,16.9
33,2019,27,0.868415,16.9
33,2019,27,0.8683,16.9
33,2019,27,0.872593,16.9
33,2019,21,0.855983,16.9
33,2019,21,0.864579,16.9
33,2019,21,0.877657,16.9
33,2019,27,0.881912,16.9
33,2019,27,0.881795,16.9
33,2019,27,0.881795,16.9
33,2019,27,0.881679,16.9
33,2019,27,0.881562,16.9
33,2019,21,0.864693,16.9
33,2019,21,0.877773,16.9
33,2019,27,0.916582,16.9
33,2019,27,0.882223,16.9
33,2019,27,0.886634,16.9
33,2019,27,0.882729,16.9
33,2019,27,0.882613,16.9
33,2019,27,0.886908,16.9
33,2019,27,0.900146,16.9
33,2019,27,0.917391,16.9
33,2019,27,0.883119,16.9
33,2019,27,0.883002,16.9
33,2019,27,0.8873,16.9
33,2019,27,0.900146,16.9
33,2019,27,0.917795,16.9
33,2019,27,0.931115,16.9
33,2019,27,0.931238,16.9
33,2019,27,0.935776,16.9
33,2019,27,0.883431,16.9
33,2019,27,0.883314,16.9
33,2019,27,0.887613,16.9
33,2019,27,0.900543,16.9
33,2019,27,0.918201,16.9
33,2019,27,0.931526,16.9
33,2019,27,0.93165,16.9
33,2019,27,0.936189,16.9
33,2019,27,0.949521,16.9
33,2019,27,0.883861,16.9
33,2019,27,0.888162,16.9
33,2019,27,0.900861,16.9
33,2019,27,0.918606,16.9
33,2019,27,0.931855,16.9
33,2019,27,0.931979,16.9
33,2019,27,0.901418,16.9
33,2019,27,0.919174,16.9
33,2019,27,0.932555,16.9
2,2019,46,0.333695,13.5
2,2019,52,3.77975,11.7
2,2019,52,3.79939,11.7
2,2019,52,3.82726,11.7
2,2019,52,3.71248,11.7
2,2019,52,3.73218,11.7
2,2019,52,3.7601,11.7
2,2019,52,3.64572,11.7
2,2019,52,3.66546,11.7
2,2019,52,3.69345,11.7
2,2019,52,3.58198,11.7
2,2019,52,3.56616,11.7
2,2019,52,3.58149,11.7
2,2019,52,3.60509,11.7
2,2019,52,3.5043,11.7
2,2019,52,3.49087,11.7
2,2019,52,3.50179,11.7
2,2019,52,3.52547,11.7
2,2019,52,3.43269,11.7
2,2019,52,3.41682,11.7
2,2019,52,3.43023,11.7
2,2019,52,3.45398,11.7
2,2019,52,3.37657,11.7
2,2019,52,3.38248,11.7
2,2019,52,3.40483,11.7
2,2019,52,3.3053,11.7
2,2019,52,3.31129,11.7
2,2019,52,3.33006,11.7
2,2019,52,3.20427,9.1
2,2019,52,3.22625,9.1
2,2019,52,3.22254,10.9
2,2019,52,3.24971,10.9
2,2019,52,3.21838,10.9
2,2019,52,3.26918,10.9
33,2019,26,3.24926,10.9
33,2019,26,3.27378,10.9
33,2019,26,3.29817,10.9
33,2019,26,3.27288,10.9
33,2019,26,3.29635,10.9
33,2019,26,3.3209,10.9
33,2019,26,3.32719,10.9
33,2019,26,3.30171,10.9
33,2019,26,3.32474,10.9
0,2019,50,3.57507,7.6
0,2019,50,3.6158,7.6
0,2019,50,3.64673,7.6
0,2019,50,3.6838,7.6
0,2019,50,3.64622,7.6
33,2019,49,2.05761,20.4
33,2019,49,2.0219,20.4
33,2019,49,2.00009,20.4
33,2019,49,1.97918,20.4
33,2019,49,1.9479,20.4
33,2019,49,1.94485,20.4
2,2019,25,0.451989,11.5
2,2019,46,1.39585,11.2
2,2019,46,1.3939,11.2
2,2019,42,0.922921,14.9
2,2019,42,0.908999,14.9
2,2019,42,0.920464,14.9
2,2019,38,1.25822,14.9
2,2019,38,1.35282,14.9
2,2019,38,1.39947,14.9
0,2019,39,2.35825,7.9
33,2019,46,1.96912,15
33,2019,25,1.90203,23.1
33,2019,42,1.40308,16.5
0,2019,25,1.74032,13.5
33,2019,42,1.45291,13.5
33,2019,42,1.56986,15.7
33,2019,42,1.62209,15.7
33,2019,42,1.58061,15.7
33,2019,42,1.62478,15.7
33,2019,42,1.59162,15.7
33,2019,42,1.63573,15.7
