year,area_hm,area_hm3,cumulative_percentage
2000,1012.95,1.01295,0.008316031
2001,5.04,0.00504,0.008357408
2002,1289.52,1.28952,0.018944001
2003,12332.25,12.33225,0.120188265
2004,26824.68,26.82468,0.340411257
2005,1455.84,1.45584,0.35236329
2006,367.02,0.36702,0.35537642
2007,3614.04,3.61404,0.38504666
2008,4986.99,4.98699,0.425988429
2009,752.22,0.75222,0.432163941
2010,1220.22,1.22022,0.442181601
2011,8460.36,8.46036,0.51163875
2012,1195.02,1.19502,0.521449524
2013,4524.03,4.52403,0.558590523
2014,6586.74,6.58674,0.612665785
2015,0.36,0.00036,0.61266874
2016,18,0.018,0.612816515
2017,489.69,0.48969,0.616836731
2018,1054.53,1.05453,0.625494122
2019,8751.69,8.75169,0.697343008
2020,4907.16,4.90716,0.737629395
2021,3687.39,3.68739,0.767901818
2022,16786.71,16.78671,0.905715932
2023,11484.45,11.48445,1
